title,link,category
"AAA, see Abdominal aortic aneurysm",/conditions/abdominal-aortic-aneurysm/,conditions
Abdominal aortic aneurysm,/conditions/abdominal-aortic-aneurysm/,conditions
Acanthosis nigricans,/conditions/acanthosis-nigricans/,conditions
Achalasia,/conditions/achalasia/,conditions
Acid and chemical burns,/conditions/acid-and-chemical-burns/,conditions
"Acid reflux in babies, see Reflux in babies",/conditions/reflux-in-babies/,conditions
Acne,/conditions/acne/,conditions
Acoustic neuroma (vestibular schwannoma),/conditions/acoustic-neuroma/,conditions
Acromegaly,/conditions/acromegaly/,conditions
Actinic keratoses (solar keratoses),/conditions/actinic-keratoses/,conditions
Actinomycosis,/conditions/actinomycosis/,conditions
Acute cholecystitis,/conditions/acute-cholecystitis/,conditions
Acute kidney injury,/conditions/acute-kidney-injury/,conditions
Acute lymphoblastic leukaemia,/conditions/acute-lymphoblastic-leukaemia/,conditions
Acute myeloid leukaemia,/conditions/acute-myeloid-leukaemia/,conditions
Acute pancreatitis,/conditions/acute-pancreatitis/,conditions
Acute respiratory distress syndrome (ARDS),/conditions/acute-respiratory-distress-syndrome/,conditions
Addison's disease,/conditions/addisons-disease/,conditions
Adenomyosis,/conditions/adenomyosis/,conditions
ADHD in adults,/conditions/adhd-adults/,conditions
ADHD in children and young people,/conditions/adhd-children-teenagers/,conditions
Age-related macular degeneration (AMD),/conditions/age-related-macular-degeneration-amd/,conditions
Agoraphobia,/mental-health/conditions/agoraphobia/,conditions
Albinism,/conditions/albinism/,conditions
Alcohol misuse,/conditions/alcohol-misuse/,conditions
Alcohol poisoning,/conditions/alcohol-poisoning/,conditions
Alcohol-related liver disease,/conditions/alcohol-related-liver-disease-arld/,conditions
Alkaptonuria,/conditions/alkaptonuria/,conditions
Allergic rhinitis,/conditions/allergic-rhinitis/,conditions
Allergies,/conditions/allergies/,conditions
Altitude sickness,/conditions/altitude-sickness/,conditions
Alzheimer's disease,/conditions/alzheimers-disease/,conditions
"Amblyopia, see Lazy eye",/conditions/lazy-eye/,conditions
Amniocentesis,/conditions/amniocentesis/,conditions
Amyloidosis,/conditions/amyloidosis/,conditions
Anabolic steroid misuse,/conditions/anabolic-steroid-misuse/,conditions
"Anaemia (iron deficiency), see Iron deficiency anaemia",/conditions/iron-deficiency-anaemia/,conditions
"Anaemia (vitamin B12 or folate deficiency), see Vitamin B12 or folate deficiency anaemia",/conditions/vitamin-b12-or-folate-deficiency-anaemia/,conditions
Anal cancer,/conditions/anal-cancer/,conditions
Anal fissure,/conditions/anal-fissure/,conditions
Anal fistula,/conditions/anal-fistula/,conditions
Anaphylaxis,/conditions/anaphylaxis/,conditions
Androgen insensitivity syndrome,/conditions/androgen-insensitivity-syndrome/,conditions
"Aneurysm (abdominal aortic), see Abdominal aortic aneurysm",/conditions/abdominal-aortic-aneurysm/,conditions
"Aneurysm (brain), see Brain aneurysm",/conditions/brain-aneurysm/,conditions
Angelman syndrome,/conditions/angelman-syndrome/,conditions
Angina,/conditions/angina/,conditions
Angioedema,/conditions/angioedema/,conditions
Animal and human bites,/conditions/animal-and-human-bites/,conditions
Ankylosing spondylitis,/conditions/ankylosing-spondylitis/,conditions
